province,day,type,ACC,POD,FAR,F1,CSI
Jeollabuk-do,2,Model_Pred,90.8840,2.9412,0.0000,5.7143,0.0294
Jeollabuk-do,2,Baseline_Forecast,93.9227,70.5882,33.3333,68.5714,0.5217
Jeollabuk-do,3,Model_Pred,91.4365,8.8235,0.0000,16.2162,0.0882
Jeollabuk-do,3,Baseline_Forecast,92.8177,64.7059,38.8889,62.8571,0.4583
Jeollanam-do,1,Model_Pred,84.5304,9.6774,0.0000,17.6471,0.0968
Jeollanam-do,1,Baseline_Forecast,90.0552,48.3871,11.7647,62.5000,0.4545
Jeollanam-do,2,Model_Pred,84.8066,12.9032,11.1111,22.5352,0.1270
Jeollanam-do,2,Baseline_Forecast,88.9503,41.9355,13.3333,56.5217,0.3939
Jeollanam-do,3,Model_Pred,83.4254,9.6774,40.0000,16.6667,0.0909
Jeollanam-do,3,Baseline_Forecast,88.9503,50.0000,22.5000,60.7843,0.4366
Ulsan,1,Model_Pred,95.0276,0.0000,0.0000,0.0000,0.0000
Ulsan,1,Baseline_Forecast,97.7901,55.5556,0.0000,71.4286,0.5556
Ulsan,2,Model_Pred,95.3039,5.5556,0.0000,10.5263,0.0556
Ulsan,2,Baseline_Forecast,97.5138,50.0000,0.0000,66.6667,0.5000
Ulsan,3,Model_Pred,95.0276,0.0000,0.0000,0.0000,0.0000
Ulsan,3,Baseline_Forecast,96.6851,44.4444,20.0000,57.1429,0.4000
