province,day,type,ACC,POD,FAR,F1,CSI
Gangwon-do,2,Baseline_Forecast,93.9227,73.0159,9.8039,80.7018,0.6765
Gangwon-do,3,Model_Pred,83.7017,6.3492,0.0000,11.9403,0.0635
Gangwon-do,3,Baseline_Forecast,93.3702,74.6032,14.5455,79.6610,0.6620
Gyeonggi-do,1,Model_Pred,83.1492,12.8571,0.0000,22.7848,0.1286
Gyeonggi-do,1,Baseline_Forecast,94.4751,84.2857,13.2353,85.5072,0.7468
Gyeonggi-do,2,Model_Pred,82.3204,8.5714,0.0000,15.7895,0.0857
Gyeonggi-do,2,Baseline_Forecast,94.1989,81.4286,12.3077,84.4444,0.7308
Gyeonggi-do,3,Model_Pred,81.7680,5.7143,0.0000,10.8108,0.0571
Gyeonggi-do,3,Baseline_Forecast,93.0939,75.7143,13.1148,80.9160,0.6795
Gyeongsangbuk-do,1,Model_Pred,85.6354,16.1290,0.0000,27.7778,0.1613
Gyeongsangbuk-do,1,Baseline_Forecast,91.1602,56.4516,12.5000,68.6275,0.5224
Gyeongsangbuk-do,2,Model_Pred,84.5304,11.2903,12.5000,20.0000,0.1111
Gyeongsangbuk-do,2,Baseline_Forecast,90.6077,58.0645,18.1818,67.9245,0.5143
Gyeongsangbuk-do,3,Model_Pred,85.0829,12.9032,0.0000,22.8571,0.1290
Gyeongsangbuk-do,3,Baseline_Forecast,89.5028,53.2258,21.4286,63.4615,0.4648
Gyeongsangnam-do,1,Model_Pred,84.5304,15.1515,0.0000,26.3158,0.1515
Gyeongsangnam-do,1,Baseline_Forecast,91.1602,53.0303,2.7778,68.6275,0.5224
Gyeongsangnam-do,2,Model_Pred,84.8066,16.6667,0.0000,28.5714,0.1667
Gyeongsangnam-do,2,Baseline_Forecast,89.7790,46.9697,6.0606,62.6263,0.4559
Gyeongsangnam-do,3,Model_Pred,84.2541,13.6364,0.0000,24.0000,0.1364
Gyeongsangnam-do,3,Baseline_Forecast,89.7790,46.9697,6.0606,62.6263,0.4559
Incheon,1,Model_Pred,85.6354,3.7037,0.0000,7.1429,0.0370
Incheon,1,Baseline_Forecast,87.8453,53.7037,39.5833,56.8627,0.3973
Incheon,2,Model_Pred,85.6354,3.7037,0.0000,7.1429,0.0370
Incheon,2,Baseline_Forecast,87.5691,53.7037,40.8163,56.3107,0.3919
Incheon,3,Model_Pred,85.9116,5.5556,0.0000,10.5263,0.0556
Incheon,3,Baseline_Forecast,88.3978,57.4074,38.0000,59.6154,0.4247
Jeju,1,Model_Pred,96.1326,14.2857,50.0000,22.2222,0.1250
Jeju,1,Baseline_Forecast,96.9613,42.8571,33.3333,52.1739,0.3529
Jeju,2,Model_Pred,95.8564,7.1429,66.6667,11.7647,0.0625
Jeju,2,Baseline_Forecast,96.1326,42.8571,50.0000,46.1538,0.3000
Jeju,3,Model_Pred,96.4088,14.2857,33.3333,23.5294,0.1333
Jeju,3,Baseline_Forecast,96.4088,42.8571,45.4545,48.0000,0.3158
Jeollabuk-do,1,Model_Pred,91.9890,23.5294,27.2727,35.5556,0.2162
Jeollabuk-do,1,Baseline_Forecast,92.5414,58.8235,39.3939,59.7015,0.4255
Jeollabuk-do,2,Model_Pred,92.5414,20.5882,0.0000,34.1463,0.2059
Jeollabuk-do,2,Baseline_Forecast,93.9227,70.5882,33.3333,68.5714,0.5217
Jeollabuk-do,3,Model_Pred,91.9890,20.5882,22.2222,32.5581,0.1944
Jeollabuk-do,3,Baseline_Forecast,92.8177,64.7059,38.8889,62.8571,0.4583
Jeollanam-do,1,Model_Pred,85.0829,12.9032,0.0000,22.8571,0.1290
Jeollanam-do,1,Baseline_Forecast,90.0552,48.3871,11.7647,62.5000,0.4545
Jeollanam-do,2,Model_Pred,84.8066,11.2903,0.0000,20.2899,0.1129
Jeollanam-do,2,Baseline_Forecast,88.9503,41.9355,13.3333,56.5217,0.3939
Jeollanam-do,3,Model_Pred,84.2541,8.0645,0.0000,14.9254,0.0806
Jeollanam-do,3,Baseline_Forecast,88.9503,50.0000,22.5000,60.7843,0.4366
Ulsan,1,Model_Pred,96.1326,22.2222,0.0000,36.3636,0.2222
Ulsan,1,Baseline_Forecast,97.7901,55.5556,0.0000,71.4286,0.5556
Ulsan,2,Model_Pred,95.8564,16.6667,0.0000,28.5714,0.1667
Ulsan,2,Baseline_Forecast,97.5138,50.0000,0.0000,66.6667,0.5000
Ulsan,3,Model_Pred,95.5801,11.1111,0.0000,20.0000,0.1111
Ulsan,3,Baseline_Forecast,96.6851,44.4444,20.0000,57.1429,0.4000
